Date,CADUSD
2021-04-27,0.8067118525505066
2021-04-28,0.806048572063446
2021-04-29,0.8128164410591125
2021-04-30,0.8145843148231506
2021-05-03,0.8143919110298157
2021-05-04,0.8143255710601807
2021-05-05,0.8129948973655701
2021-05-06,0.8151886463165283
2021-05-07,0.8227744102478027
2021-05-10,0.8254911303520203
2021-05-11,0.8268768191337585
2021-05-12,0.8266922235488892
2021-05-13,0.8250417113304138
2021-05-14,0.8218074440956116
2021-05-17,0.8256956338882446
2021-05-18,0.8290842175483704
2021-05-19,0.8283150792121887
2021-05-20,0.8242459893226624
2021-05-21,0.8290155529975891
2021-05-24,0.8287063837051392
2021-05-25,0.8298892974853516
2021-05-26,0.8289124369621277
2021-05-27,0.8243955373764038
2021-05-28,0.8284866809844971
2021-05-31,0.8279653787612915
2021-06-01,0.8291392922401428
2021-06-02,0.8285690546035767
2021-06-03,0.8307027816772461
2021-06-04,0.8259684443473816
2021-06-07,0.8281025290489197
2021-06-08,0.827355682849884
2021-06-09,0.8256683349609375
2021-06-10,0.8254503011703491
2021-06-11,0.8269246220588684
2021-06-14,0.8225036859512329
2021-06-15,0.823655366897583
2021-06-16,0.8206407427787781
2021-06-17,0.8144648671150208
2021-06-18,0.8100314736366272
2021-06-21,0.8032193183898926
2021-06-22,0.8084074258804321
2021-06-23,0.8123477101325989
2021-06-24,0.8127900958061218
2021-06-25,0.8115368485450745
2021-06-28,0.8135438561439514
2021-06-29,0.8107669949531555
2021-06-30,0.8066988587379456
2021-07-01,0.8069266676902771
2021-07-02,0.8038132786750793
2021-07-05,0.8110299706459045
2021-07-06,0.8103793859481812
2021-07-07,0.8026906251907349
2021-07-08,0.8011729121208191
2021-07-09,0.7982119917869568
2021-07-12,0.8034064769744873
2021-07-13,0.8028775453567505
2021-07-14,0.7986582517623901
2021-07-15,0.7990092635154724
2021-07-16,0.7943442463874817
2021-07-19,0.7925876975059509
2021-07-20,0.7845598459243774
2021-07-21,0.7889483571052551
2021-07-22,0.7956145405769348
2021-07-23,0.7959248423576355
2021-07-26,0.7957032322883606
2021-07-27,0.7974482178688049
2021-07-28,0.7942054867744446
2021-07-29,0.7987411618232727
2021-07-30,0.8032580018043518
2021-08-02,0.8021368980407715
2021-08-03,0.7999295592308044
2021-08-04,0.7978744506835938
2021-08-05,0.797130286693573
2021-08-06,0.7999167442321777
2021-08-09,0.7954879999160767
2021-08-10,0.795304536819458
2021-08-11,0.7987858653068542
2021-08-12,0.7995650768280029
2021-08-13,0.7987220883369446
2021-08-16,0.7989773154258728
2021-08-17,0.7955702543258667
2021-08-18,0.7919850945472717
2021-08-19,0.7896960377693176
2021-08-20,0.7793442010879517
2021-08-23,0.7796663045883179
2021-08-24,0.7904513478279114
2021-08-25,0.7939028143882751
2021-08-26,0.7943632006645203
2021-08-27,0.7883388996124268
2021-08-30,0.7929584980010986
2021-08-31,0.7930905818939209
2021-09-01,0.7926379442214966
2021-09-02,0.7922863364219666
2021-09-03,0.7966984510421753
2021-09-06,0.7980655431747437
2021-09-07,0.7978107929229736
2021-09-08,0.7907388806343079
2021-09-09,0.7877737283706665
2021-09-10,0.7897272109985352
2021-09-13,0.7886745929718018
2021-09-14,0.7906388640403748
2021-09-15,0.7880220413208008
2021-09-16,0.7925123572349548
2021-09-17,0.7885502576828003
2021-09-20,0.7834534645080566
2021-09-21,0.7811034917831421
2021-09-22,0.7799825072288513
2021-09-23,0.7821115851402283
2021-09-24,0.7897647023200989
2021-09-27,0.7905513048171997
2021-09-28,0.7920039296150208
2021-09-29,0.7888302206993103
2021-09-30,0.7840800285339355
2021-10-01,0.7883948683738708
2021-10-04,0.7920791506767273
2021-10-05,0.7942937612533569
2021-10-06,0.7947419881820679
2021-10-07,0.7945209741592407
2021-10-08,0.7970033288002014
2021-10-11,0.8010188937187195
2021-10-12,0.8012564182281494
2021-10-13,0.8015325665473938
2021-10-14,0.8040653467178345
2021-10-15,0.8081068992614746
2021-10-18,0.8081656694412231
2021-10-19,0.8082636594772339
2021-10-20,0.8094544410705566
2021-10-21,0.8113985061645508
2021-10-22,0.808387815952301
2021-10-25,0.8083224296569824
2021-10-26,0.807819664478302
2021-10-27,0.8070113062858582
2021-10-28,0.808427095413208
2021-10-29,0.8099724054336548
2021-11-01,0.8075653314590454
